cliente_id;data_registro;idade;genero;localizacao;plano;metodo_pagamento;qtd_meses_assinatura;logins_mensais;horas_uso_mensais;tickets_suporte_mensais;feedback_positivo_mensal;feedback_negativo_mensal;churn_pred
25;2022-12-18;52;M;Peixoto;Premium;PayPal;14;17;196;4;5;1;0
26;2024-03-04;22;F;Souza;Premium;Boleto;16;37;91;0;1;4;0
27;2023-12-10;40;M;Nascimento;Standard;Cartão de Crédito;2;38;151;3;10;2;0
28;2024-05-17;34;M;Sales Grande;Standard;Boleto;7;36;16;2;5;3;1
29;2024-01-24;44;M;Lima;Standard;Cartão de Crédito;33;38;196;6;3;5;0
30;2024-06-21;21;F;Sousa do Campo;Standard;Cartão de Crédito;33;48;11;6;2;2;1
31;2022-12-14;58;M;Teixeira Paulista;Premium;Cartão de Crédito;26;7;129;10;1;1;0
32;2023-06-09;31;F;Pires Paulista;Básico;Boleto;33;36;161;10;10;3;0
33;2024-01-31;33;M;Nunes de Minas;Básico;Boleto;8;20;20;7;2;1;1
34;2022-11-22;49;F;Cirino de Cavalcanti;Standard;Boleto;29;28;27;2;10;0;1
35;2022-11-15;65;F;Brito de Pereira;Básico;PayPal;11;37;197;3;2;4;1
36;2022-02-13;36;F;Guerra de Almeida;Básico;Cartão de Crédito;29;23;139;4;4;1;0
37;2022-01-09;25;M;Mendonça;Standard;PayPal;32;3;169;0;0;3;0
38;2023-11-17;43;M;Dias do Amparo;Premium;Boleto;2;30;33;4;9;5;0
39;2021-11-09;27;F;Araújo de Ramos;Premium;Cartão de Crédito;29;9;130;6;5;5;0
40;2022-04-18;26;F;Rodrigues do Galho;Básico;Boleto;36;2;120;0;8;4;1
41;2021-09-16;50;F;Aparecida de Santos;Premium;Boleto;18;32;90;4;8;1;1
42;2023-07-14;28;F;Nogueira da Prata;Standard;Boleto;1;33;181;8;7;4;1
43;2023-06-22;50;F;Silveira;Premium;Cartão de Crédito;34;19;172;2;4;2;0
44;2022-06-14;24;F;Rios do Sul;Standard;PayPal;27;27;11;10;10;1;0
45;2022-08-10;60;M;Nascimento do Norte;Standard;Cartão de Crédito;15;43;70;5;8;4;1
46;2021-10-15;59;M;Rodrigues de Nogueira;Premium;Cartão de Crédito;4;42;116;3;5;0;1
47;2022-03-07;52;M;Sá de Viana;Premium;PayPal;11;27;199;8;9;1;0
48;2024-06-07;24;F;Barbosa da Prata;Standard;PayPal;33;39;157;3;10;5;0
49;2022-07-25;43;F;Pimenta;Standard;Cartão de Crédito;20;1;53;8;7;0;1
50;2022-09-12;27;M;Moraes;Standard;PayPal;2;25;199;1;9;3;0
51;2021-09-07;25;F;Castro do Amparo;Premium;PayPal;33;28;153;5;4;0;0
52;2021-10-01;65;F;Porto;Standard;Cartão de Crédito;3;33;107;4;3;2;1
53;2023-08-13;43;F;Cirino do Sul;Básico;Cartão de Crédito;35;31;6;5;6;4;1
54;2022-03-05;45;M;Azevedo do Norte;Básico;Cartão de Crédito;27;2;49;0;5;2;0
55;2022-09-29;43;M;Carvalho;Básico;PayPal;1;32;23;5;4;4;1
56;2023-11-30;48;F;Viana;Básico;PayPal;2;5;160;7;4;3;1
57;2022-10-22;24;F;Fogaça;Standard;PayPal;34;6;163;3;9;5;0
58;2023-12-28;26;M;Souza da Mata;Básico;Cartão de Crédito;16;33;138;5;3;5;1
59;2023-07-10;37;M;Abreu;Básico;Boleto;22;41;132;2;2;2;1
60;2022-11-22;56;M;Ribeiro;Premium;PayPal;14;42;196;10;9;1;0
61;2022-02-15;70;F;Sales das Flores;Standard;Cartão de Crédito;25;9;110;9;0;2;0
62;2021-08-04;41;M;Sampaio;Standard;Cartão de Crédito;4;13;2;5;0;2;0
63;2023-10-31;26;M;da Rocha de Sousa;Básico;Boleto;20;0;174;4;5;4;0
64;2023-05-16;27;F;Rocha de Aragão;Standard;Boleto;2;39;10;10;8;5;0
65;2021-10-19;41;F;Novais de Machado;Básico;PayPal;27;15;171;9;8;4;1
66;2022-09-19;68;M;Siqueira do Norte;Básico;PayPal;4;24;183;3;2;3;0
67;2021-11-27;65;F;da Conceição das Flores;Standard;PayPal;26;24;141;3;10;1;1
68;2022-04-08;19;F;da Cunha;Standard;PayPal;21;37;115;0;9;5;0
69;2023-07-10;37;F;Borges;Premium;PayPal;7;5;116;5;10;5;1
70;2024-01-31;60;M;da Rosa;Básico;PayPal;17;5;86;8;6;0;1
71;2022-06-26;48;M;Rios das Flores;Básico;Cartão de Crédito;17;38;34;8;0;4;0
72;2022-12-12;53;F;Machado do Amparo;Premium;Cartão de Crédito;27;23;195;0;8;0;1
73;2023-05-27;68;M;da Rosa;Standard;Boleto;19;6;29;4;0;3;0
74;2022-11-12;35;F;Rocha;Standard;Boleto;22;41;21;4;4;0;1
75;2022-06-08;51;F;da Rocha;Standard;PayPal;16;28;105;8;8;2;0
76;2021-08-01;42;F;da Paz de Minas;Premium;Boleto;17;4;135;1;2;4;1
77;2021-11-27;35;F;Cunha do Norte;Standard;Cartão de Crédito;3;38;98;4;10;5;0
78;2021-11-24;55;M;Andrade;Standard;PayPal;30;26;196;3;7;5;0
79;2024-03-20;54;M;Barros;Básico;PayPal;7;27;156;9;9;5;0
80;2023-01-16;22;F;da Rosa Grande;Básico;Cartão de Crédito;23;6;165;7;10;4;0
81;2021-08-17;63;F;Melo;Premium;Boleto;34;47;116;4;0;2;0
82;2022-01-20;50;F;Guerra de Guerra;Premium;Cartão de Crédito;23;5;117;4;7;2;1
83;2023-02-14;61;F;da Cruz Verde;Standard;Cartão de Crédito;7;15;92;7;10;0;1
84;2024-05-11;42;F;Santos Verde;Básico;Cartão de Crédito;28;22;102;9;3;4;0
85;2022-09-26;28;F;Garcia das Flores;Standard;Boleto;14;18;87;10;10;4;1
86;2023-01-15;57;M;Silveira;Standard;Cartão de Crédito;28;49;81;7;9;5;0
87;2023-01-20;61;M;Caldeira das Flores;Standard;PayPal;20;26;96;10;1;2;0
88;2024-03-21;30;M;Cirino Alegre;Standard;PayPal;19;41;156;8;4;3;1
89;2022-12-16;40;F;Gonçalves das Flores;Básico;PayPal;29;38;181;0;6;1;1
90;2021-10-11;52;F;Garcia;Premium;PayPal;7;7;167;0;3;1;1
91;2023-04-29;60;F;Pimenta;Básico;Cartão de Crédito;30;1;32;0;10;1;1
92;2021-08-07;42;F;Siqueira;Standard;PayPal;14;6;81;9;10;5;1
93;2022-05-31;47;M;Novais;Básico;PayPal;17;47;140;1;10;4;1
94;2022-12-06;46;F;Rios do Galho;Básico;Cartão de Crédito;36;44;39;2;6;1;0
95;2024-01-21;29;M;Ramos;Básico;PayPal;11;47;141;6;2;5;0
96;2024-04-14;54;M;Freitas de Minas;Standard;Cartão de Crédito;4;3;179;8;2;5;0
97;2022-01-15;37;M;Moura;Standard;Boleto;23;41;55;10;6;4;1
98;2022-10-05;68;M;da Mota;Básico;PayPal;18;26;21;8;6;1;0
99;2022-11-11;25;F;da Paz;Básico;Cartão de Crédito;22;26;113;7;2;2;0
100;2023-08-13;48;M;Souza das Pedras;Premium;Boleto;27;33;127;7;8;0;1
101;2021-10-14;67;F;Ferreira;Básico;Cartão de Crédito;9;38;91;8;7;5;0
102;2021-09-12;31;F;Vargas de Minas;Premium;Cartão de Crédito;11;37;8;10;1;0;1
103;2022-11-06;46;M;Novaes;Standard;Boleto;31;48;84;1;6;5;1
104;2024-06-22;43;M;Viana do Campo;Básico;Cartão de Crédito;18;35;130;6;3;2;1
105;2021-09-09;63;M;Sales;Standard;Cartão de Crédito;1;34;141;10;10;3;1
106;2022-06-16;25;M;Brito do Norte;Básico;Boleto;27;18;132;10;1;3;1
107;2022-02-23;67;M;Fogaça da Mata;Básico;Boleto;34;22;100;0;3;5;0
108;2023-03-12;69;F;Fonseca;Premium;PayPal;20;10;54;1;3;0;1
109;2022-12-26;27;M;Fernandes do Campo;Premium;Cartão de Crédito;15;17;62;2;1;4;1
110;2022-05-07;25;F;Caldeira;Básico;Cartão de Crédito;10;11;113;3;4;4;1
111;2023-04-15;59;M;Sá;Premium;Cartão de Crédito;30;5;4;3;2;4;1
112;2021-12-30;19;M;Novais;Básico;Boleto;29;7;87;5;2;2;1
113;2021-10-30;33;M;Costela Verde;Premium;Boleto;1;11;171;5;2;4;0
114;2024-03-04;59;F;Aragão;Básico;Cartão de Crédito;9;43;15;6;6;5;0
115;2024-04-22;31;M;Albuquerque;Premium;Boleto;31;49;104;4;0;3;0
116;2021-11-04;50;F;da Paz de Goiás;Básico;Boleto;15;34;33;6;0;1;0
117;2021-10-11;54;F;Carvalho;Premium;Boleto;22;17;101;9;4;2;0
118;2024-04-08;25;F;Cassiano;Premium;Cartão de Crédito;17;47;138;4;10;1;0
119;2022-08-23;47;M;Jesus;Premium;Cartão de Crédito;19;0;82;2;4;4;0
120;2023-10-28;43;M;Fonseca do Norte;Premium;Boleto;22;29;160;9;0;1;0
121;2022-11-24;24;F;Sá de Pires;Básico;Cartão de Crédito;7;5;79;2;4;0;1
122;2023-01-05;61;F;Novaes das Pedras;Premium;Cartão de Crédito;25;33;142;6;1;4;1
123;2022-01-25;45;F;Moura;Premium;PayPal;27;47;63;7;8;1;1
124;2023-08-20;42;M;Rodrigues;Premium;Boleto;10;28;199;5;7;1;0
125;2022-06-07;64;M;Leão;Premium;Boleto;28;38;125;7;10;4;0
126;2023-09-25;50;M;da Mota;Premium;Cartão de Crédito;33;0;30;1;5;4;1
127;2021-08-20;55;F;Almeida da Serra;Premium;Boleto;7;18;150;8;5;3;1
128;2023-05-26;41;M;Aparecida;Premium;Cartão de Crédito;30;43;199;10;4;1;0
129;2021-10-19;60;F;Garcia das Pedras;Básico;PayPal;28;7;169;5;10;1;1
130;2024-05-26;50;F;Pires do Campo;Básico;Cartão de Crédito;10;50;12;2;2;2;1
131;2022-04-25;26;F;Azevedo da Serra;Standard;Cartão de Crédito;36;37;151;9;7;5;0
132;2023-12-17;18;F;Barros;Premium;PayPal;14;37;80;10;7;3;0
133;2024-02-14;55;F;Novaes;Premium;Boleto;10;50;84;4;4;4;1
134;2021-11-26;37;F;da Rosa;Premium;PayPal;33;47;125;0;1;1;0
135;2022-08-26;43;M;Costela da Serra;Standard;PayPal;20;25;123;9;0;2;0
136;2023-02-22;54;F;Araújo;Premium;Boleto;32;39;69;1;7;3;1
137;2023-10-30;32;M;Costela;Básico;PayPal;25;9;96;8;4;3;0
138;2022-09-21;32;F;Moraes de Marques;Básico;Cartão de Crédito;10;31;114;6;10;1;1
139;2024-01-07;30;M;Azevedo;Básico;Cartão de Crédito;5;20;86;1;6;2;1
140;2024-01-26;54;M;da Costa de Pires;Standard;PayPal;13;20;44;9;10;2;1
141;2021-11-28;69;F;da Conceição Grande;Básico;Boleto;21;3;127;1;1;4;1
142;2023-12-01;53;M;Oliveira;Básico;PayPal;29;4;88;3;3;0;0
143;2023-04-15;53;M;Melo;Premium;PayPal;12;6;38;3;9;4;1
144;2023-03-30;20;F;Porto;Standard;Boleto;26;1;28;4;1;0;1
145;2022-08-15;50;F;Cirino da Serra;Básico;Cartão de Crédito;16;9;156;2;9;3;0
146;2022-09-22;58;M;Leão da Prata;Premium;PayPal;2;30;106;0;9;2;0
147;2024-04-09;46;M;Pimenta de Goiás;Standard;PayPal;11;29;191;6;1;3;1
148;2024-06-20;31;M;Novaes dos Dourados;Premium;Cartão de Crédito;25;49;97;1;9;5;0
149;2023-04-19;60;M;Brito;Básico;Cartão de Crédito;3;33;83;5;3;0;0
150;2022-11-14;57;M;Dias do Galho;Básico;Cartão de Crédito;30;32;97;8;4;5;0
151;2023-05-12;46;F;Castro;Básico;PayPal;3;38;20;6;2;2;0
152;2023-08-19;42;F;Pimenta;Premium;PayPal;14;2;95;1;4;4;0
153;2022-07-02;45;M;Pacheco;Premium;PayPal;24;43;153;7;0;0;1
154;2022-06-07;53;F;Andrade;Básico;Boleto;4;12;157;4;10;5;1
155;2023-11-22;58;F;Pinto Paulista;Básico;Boleto;28;28;52;1;5;4;1
156;2021-11-26;29;F;Abreu;Standard;Cartão de Crédito;19;22;84;4;6;2;1
157;2024-03-22;38;F;Rocha;Standard;PayPal;25;21;71;0;0;1;0
158;2022-11-08;28;F;Moraes;Standard;Cartão de Crédito;23;43;166;1;10;3;0
159;2024-01-21;22;F;da Cunha;Premium;PayPal;25;16;33;2;3;3;1
160;2023-03-31;59;F;da Rosa do Amparo;Standard;PayPal;23;5;14;0;7;2;1
161;2021-11-06;29;F;Moraes do Campo;Básico;PayPal;19;39;194;6;8;3;1
162;2023-09-28;56;M;Gonçalves de da Luz;Standard;PayPal;9;50;67;6;7;4;1
163;2022-01-12;53;F;Freitas;Básico;Boleto;28;27;21;7;0;5;0
164;2021-10-10;56;M;Alves;Standard;Boleto;27;26;199;6;8;2;0
165;2023-10-30;21;M;Pimenta dos Dourados;Premium;Boleto;19;48;190;9;6;0;0
166;2022-01-21;52;M;Aragão de Minas;Básico;PayPal;27;26;157;7;5;3;0
167;2022-08-19;65;F;da Rosa;Básico;Cartão de Crédito;30;9;128;8;5;1;0
168;2022-09-25;66;F;Moreira;Premium;PayPal;14;6;57;7;2;0;1
169;2024-04-22;46;M;Peixoto;Standard;PayPal;18;46;179;9;3;1;1
170;2023-12-30;28;M;Siqueira de Minas;Standard;Boleto;3;20;192;1;7;4;1
171;2024-06-08;45;M;Gomes;Básico;PayPal;2;21;112;9;9;3;0
172;2023-09-06;21;F;Melo;Premium;Boleto;32;29;49;5;10;4;0
173;2023-01-22;41;F;Marques;Básico;PayPal;19;32;63;6;6;0;1
174;2024-07-03;41;F;Camargo da Mata;Standard;PayPal;2;34;20;3;8;0;1
175;2023-03-15;39;F;das Neves;Standard;Boleto;15;48;130;4;5;2;1
176;2023-05-03;22;F;Viana de Minas;Básico;PayPal;16;12;41;1;4;3;1
177;2021-12-15;54;M;Sousa;Básico;Boleto;36;47;121;6;7;1;0
178;2021-10-08;67;M;Fonseca das Pedras;Standard;PayPal;1;31;48;7;8;4;1
179;2024-07-09;61;F;Carvalho;Premium;PayPal;8;34;4;5;9;3;1
180;2023-02-13;32;M;Mendes de Goiás;Standard;PayPal;10;44;172;8;10;0;0
181;2022-09-25;31;M;da Cunha;Standard;PayPal;27;28;44;6;1;3;1
182;2023-05-29;22;F;Marques Verde;Básico;Boleto;30;28;73;2;8;4;0
183;2021-12-14;27;M;da Rosa;Standard;Boleto;20;48;170;3;7;2;1
184;2022-02-03;57;F;Teixeira;Premium;Boleto;16;0;83;2;7;4;1
185;2021-12-13;21;F;Fernandes do Norte;Básico;PayPal;9;10;104;4;8;5;0
186;2022-02-03;26;F;Gonçalves de da Costa;Básico;Boleto;23;19;187;5;8;1;1
187;2021-07-21;50;M;Siqueira dos Dourados;Básico;Cartão de Crédito;31;3;100;1;6;4;0
188;2022-03-19;31;M;Porto da Serra;Básico;Cartão de Crédito;29;28;10;10;7;2;0
189;2022-09-10;60;F;Ramos;Standard;PayPal;22;40;35;3;2;0;1
190;2022-07-01;52;M;Ribeiro de Goiás;Premium;PayPal;14;47;198;1;3;0;1
191;2023-02-09;54;F;Moura;Básico;PayPal;30;15;111;6;1;1;0
192;2023-10-30;56;F;Rocha;Premium;Boleto;14;6;4;1;9;4;0
193;2023-03-09;43;F;Vargas de Minas;Básico;Boleto;16;9;154;6;6;3;1
194;2023-12-28;34;M;Mendonça do Amparo;Básico;Boleto;30;9;9;10;3;2;1
195;2024-05-13;66;F;Sales das Pedras;Standard;Cartão de Crédito;20;8;87;1;8;5;1
196;2024-01-03;23;F;Ramos da Prata;Standard;PayPal;29;36;68;5;10;1;0
197;2023-05-05;66;M;da Paz;Standard;PayPal;21;0;194;8;8;3;0
198;2021-12-28;37;M;Mendes;Premium;Cartão de Crédito;2;30;121;4;4;4;1
199;2022-05-30;70;F;Moura;Standard;Cartão de Crédito;34;28;179;2;1;3;1
200;2022-09-03;53;F;Ribeiro de Casa Grande;Básico;PayPal;2;45;187;7;3;3;0
201;2022-12-03;33;F;Duarte;Standard;Cartão de Crédito;25;43;83;4;2;3;1
202;2021-07-22;69;F;Nogueira;Premium;PayPal;20;24;0;9;1;1;0
203;2023-05-17;34;F;Brito;Básico;PayPal;28;42;67;4;7;4;1
204;2023-07-08;39;M;da Conceição Alegre;Premium;PayPal;10;23;123;5;1;2;1
205;2024-04-28;41;F;Marques;Premium;PayPal;29;3;167;2;9;5;1
206;2021-10-14;50;F;Ramos;Premium;Cartão de Crédito;15;27;196;4;0;4;0
207;2022-02-12;49;M;Pimenta;Premium;Cartão de Crédito;23;29;161;0;9;3;0
208;2023-12-19;48;M;Vargas;Básico;Boleto;11;16;140;1;8;2;1
209;2022-02-20;30;F;Cirino;Básico;Boleto;25;38;155;5;7;2;1
210;2021-08-15;18;F;Andrade do Campo;Básico;PayPal;3;27;86;0;7;5;0
211;2022-12-15;40;F;Ramos;Premium;Cartão de Crédito;16;18;167;10;0;5;1
212;2022-08-16;19;F;Rocha da Mata;Premium;PayPal;4;4;103;3;1;0;1
213;2024-04-23;22;F;Pimenta;Básico;Boleto;30;35;132;2;8;4;0
214;2022-07-10;42;F;Rocha dos Dourados;Standard;Boleto;7;38;142;1;3;4;0
215;2022-08-12;36;F;Costela;Premium;PayPal;30;32;28;1;0;2;1
216;2024-05-09;35;M;Fernandes;Standard;Cartão de Crédito;3;18;45;0;7;1;0
217;2023-10-12;51;F;Fernandes Grande;Standard;PayPal;13;31;186;1;3;0;1
218;2023-12-19;28;M;Souza de Casa Grande;Básico;Cartão de Crédito;3;2;94;10;2;4;0
219;2023-08-29;38;M;Sá;Standard;PayPal;12;27;161;6;10;5;0
220;2024-05-03;62;F;Moreira do Oeste;Premium;Boleto;3;48;39;10;9;4;1
221;2022-01-12;35;F;Jesus;Básico;PayPal;29;22;108;4;7;1;1
222;2023-07-15;22;F;Gonçalves dos Dourados;Básico;Cartão de Crédito;29;34;8;9;2;3;1
223;2021-09-10;52;F;Fernandes do Amparo;Básico;PayPal;12;27;14;0;2;2;1
224;2022-11-15;49;M;Camargo;Premium;Boleto;23;34;138;8;6;4;0
225;2024-05-24;61;M;Lopes de Nogueira;Standard;Boleto;23;4;157;10;7;5;0
226;2023-08-09;39;M;Pereira de Aparecida;Básico;Boleto;9;18;151;0;5;5;1
227;2024-02-25;58;M;Vieira do Amparo;Standard;Boleto;28;49;180;3;4;1;1
228;2022-10-05;39;F;Nunes;Básico;Cartão de Crédito;26;41;120;1;1;0;1
229;2024-01-17;58;M;Melo;Básico;PayPal;18;25;85;9;9;4;0
230;2023-10-11;30;F;Rios;Premium;Boleto;34;25;124;6;9;2;0
231;2021-10-11;34;F;Pires de Macedo;Básico;PayPal;1;47;115;6;6;3;0
232;2024-03-07;52;M;Sousa;Básico;PayPal;28;48;170;9;10;0;0
233;2022-12-06;24;M;da Rocha de Minas;Básico;Cartão de Crédito;27;2;83;10;9;5;0
234;2022-02-02;21;M;da Rosa;Premium;Cartão de Crédito;15;34;28;2;10;5;0
235;2023-01-02;27;F;Pires;Standard;Boleto;1;49;90;4;1;1;0
236;2024-05-28;43;M;Correia Alegre;Standard;PayPal;14;25;125;4;10;1;0
237;2023-07-05;44;M;Cardoso;Standard;PayPal;32;50;175;7;5;5;0
238;2022-01-22;37;F;Fonseca dos Dourados;Básico;Boleto;10;13;68;3;3;0;1
239;2022-09-15;25;M;da Conceição;Premium;Boleto;34;44;153;10;5;3;0
240;2022-08-15;25;M;Abreu;Premium;Cartão de Crédito;23;19;197;2;9;2;0
241;2022-11-03;61;F;Casa Grande do Amparo;Básico;Boleto;14;47;51;3;4;5;0
242;2024-03-27;19;F;Aragão do Sul;Premium;Boleto;11;39;128;0;9;1;0
243;2023-03-16;60;F;Leão;Básico;PayPal;7;44;150;5;6;5;0
244;2023-06-22;45;M;Gomes;Standard;Boleto;10;49;128;9;5;0;1
245;2022-07-27;26;F;Cassiano de Caldeira;Premium;Cartão de Crédito;12;28;60;5;3;1;1
246;2022-08-30;47;F;da Mata;Premium;Boleto;16;12;132;8;5;5;1
247;2021-12-19;51;M;Borges;Standard;PayPal;35;45;59;8;10;1;0
248;2023-01-08;45;F;Ramos Grande;Standard;Boleto;4;49;36;8;0;5;0
249;2022-06-07;52;F;Aragão;Básico;PayPal;6;12;27;1;0;3;0
250;2021-07-16;58;F;Cunha;Standard;Cartão de Crédito;27;48;123;3;10;5;1
251;2023-08-13;59;F;Siqueira;Premium;Boleto;28;22;16;6;1;4;1
252;2022-09-15;19;F;Moreira do Sul;Standard;Cartão de Crédito;23;4;56;5;7;5;0
253;2022-11-12;37;M;Oliveira;Básico;Cartão de Crédito;26;33;34;0;9;3;0
254;2021-09-13;31;F;da Cruz dos Dourados;Básico;Boleto;1;32;24;8;9;3;0
255;2023-12-19;70;M;Cassiano;Básico;PayPal;15;42;38;2;3;5;1
256;2024-02-24;58;F;Carvalho;Premium;PayPal;34;28;44;4;0;3;1
257;2022-08-28;64;M;Vargas da Praia;Standard;Boleto;35;35;187;3;1;2;0
258;2023-10-16;67;M;Leão;Standard;Cartão de Crédito;9;43;0;7;2;1;1
259;2023-12-14;25;F;da Cruz;Premium;Boleto;30;5;104;5;1;2;0
260;2023-01-23;70;M;Pereira;Básico;Cartão de Crédito;15;25;38;4;0;5;1
261;2023-05-28;18;F;Rios de Minas;Premium;Cartão de Crédito;10;10;178;7;6;1;0
262;2024-05-12;39;F;Ramos;Premium;Boleto;16;50;77;6;4;0;1
263;2024-02-13;39;M;Carvalho;Premium;Boleto;21;5;27;10;6;3;1
264;2022-06-13;53;M;Caldeira da Serra;Básico;Cartão de Crédito;28;21;32;2;5;2;1
265;2024-04-06;22;M;Gonçalves do Norte;Standard;Cartão de Crédito;10;34;62;5;10;0;1
266;2023-03-23;66;M;Rezende da Prata;Premium;Cartão de Crédito;16;8;163;7;9;1;1
267;2022-08-07;37;F;Porto das Flores;Básico;PayPal;9;1;52;7;1;4;1
268;2022-07-05;51;F;Cavalcante da Serra;Premium;PayPal;10;43;15;9;2;4;0
269;2021-11-03;70;F;Brito;Premium;Boleto;19;2;134;3;2;0;1
270;2022-12-11;25;M;Cavalcanti do Galho;Standard;Cartão de Crédito;6;31;28;10;9;2;0
271;2022-04-10;22;F;Rodrigues;Standard;Cartão de Crédito;11;15;69;8;10;2;1
272;2023-06-07;35;F;Moura;Standard;PayPal;8;27;1;3;8;2;1
273;2023-12-20;18;M;Aragão;Básico;Boleto;16;20;5;2;5;0;1
274;2021-10-17;39;M;Sousa de Vieira;Standard;PayPal;5;38;36;2;4;5;1
275;2024-05-10;46;F;Rodrigues;Standard;PayPal;35;39;35;9;10;0;1
276;2022-03-25;51;F;Pacheco;Básico;PayPal;23;41;125;1;3;3;1
277;2021-11-05;32;F;Cassiano;Premium;Boleto;13;7;136;2;8;2;1
278;2022-11-11;62;F;Mendes;Standard;Boleto;16;45;71;4;1;5;1
279;2023-07-10;38;M;das Neves;Standard;Cartão de Crédito;11;48;14;0;0;4;1
280;2023-02-17;58;M;Moraes de Pereira;Premium;Cartão de Crédito;9;10;83;5;2;0;0
281;2023-05-07;37;F;Nogueira de da Costa;Standard;PayPal;29;22;52;6;4;2;1
282;2022-02-12;35;F;Cavalcante do Amparo;Básico;Cartão de Crédito;36;1;95;6;7;4;1
283;2022-11-07;62;F;Pereira do Galho;Standard;PayPal;25;31;164;0;4;0;1
284;2023-05-10;69;M;Garcia;Standard;Cartão de Crédito;34;43;108;9;7;4;0
285;2023-09-22;33;M;Viana;Standard;Cartão de Crédito;26;25;61;8;4;2;1
286;2023-07-04;33;M;Gonçalves de Gonçalves;Standard;PayPal;13;40;87;1;1;2;1
287;2023-09-05;67;F;Leão Verde;Básico;Boleto;6;10;200;1;2;2;1
288;2022-07-01;55;M;da Luz da Praia;Básico;Cartão de Crédito;7;29;61;4;1;2;1
289;2023-07-21;37;F;Moreira do Oeste;Standard;Cartão de Crédito;36;6;187;9;2;5;1
290;2024-05-25;49;F;Marques dos Dourados;Premium;PayPal;4;42;138;1;2;1;0
291;2023-05-19;34;F;Duarte;Premium;Boleto;16;44;43;8;3;5;0
292;2023-10-08;47;F;das Neves de Mendonça;Standard;Cartão de Crédito;25;0;120;0;1;1;0
293;2023-01-04;26;F;Nunes;Premium;PayPal;7;24;71;6;1;2;1
294;2023-11-13;55;M;Rodrigues;Premium;PayPal;36;24;2;4;5;1;1
295;2023-12-03;20;M;Vasconcelos;Básico;Boleto;32;42;168;3;8;2;0
296;2021-09-02;52;M;Aparecida;Standard;Boleto;9;14;172;9;10;4;1
297;2022-10-25;58;M;Pires;Premium;Cartão de Crédito;16;29;83;4;10;0;1
298;2021-10-14;62;F;Araújo;Standard;PayPal;12;34;110;3;8;1;1
299;2023-11-03;52;M;Ferreira de da Cruz;Premium;PayPal;22;14;63;5;3;4;1
300;2024-05-02;43;M;Camargo;Standard;Cartão de Crédito;7;39;75;6;8;5;1
301;2023-02-16;54;F;Cardoso;Premium;Boleto;1;18;36;1;0;4;0
302;2023-11-30;29;M;Teixeira;Básico;Boleto;27;37;120;5;10;1;0
303;2022-11-20;65;M;Brito da Praia;Standard;Cartão de Crédito;28;24;55;4;2;4;1
304;2021-08-30;42;M;da Mata;Standard;PayPal;29;1;91;9;5;3;0
305;2023-07-15;43;F;Fonseca;Standard;Boleto;20;0;142;7;8;2;0
306;2021-07-27;19;M;Novaes Verde;Standard;Cartão de Crédito;5;45;54;1;9;4;0
